"NTSB_RPRT_NBR","ACFT_REGIST_NBR","ACFT_SERIAL_NBR","EV_TYPE_DESC","EVENT_LCL_DATE","LOC_STATE_CODE_STD","ARPT_NAME_STD","FLTCNDCT_DESC","OPRTR_SCHED_DESC","OPRTR_NSDC_NAME_STD","ACFT_NSDC_MAKE_STD","ACFT_NSDC_MODEL_STD","ACFT_NSDC_SERIES_STD","REPORT_STATUS","INJURY_DESC","FLIGHT_PHASE_DESC"
"FTW88LA122","N9836H","18268057","ACCIDENT","17-JUN-88","TX","","PART 91: GENERAL AVIATION","","BRUTON AERIAL SPRAYING INC","CESSNA","182","R","FINAL","NONE","LANDING"
"FTW88LA123","N9162S","MC 412","ACCIDENT","22-JUN-88","OK","","PART 91: GENERAL AVIATION","","","BEECH","24","B24R","FINAL","NONE","DESCENT"
"FTW88LA124","N201ZP","24-0538","ACCIDENT","24-JUN-88","TX","HUNT","PART 91: GENERAL AVIATION","","","MOONEY","M20J","NO SERIES EXISTS","FINAL","NONE","TAKEOFF"
"FTW88LA126","N8979S","15062279","ACCIDENT","25-JUN-88","TX","DRAUGHTON-MILLER","PART 91: GENERAL AVIATION","","","CESSNA","150","F","FINAL","NONE","LANDING"
"FTW88LA127","N3969M","32 7840076","ACCIDENT","28-JUN-88","LA","MUNICIPAL","PART 91: GENERAL AVIATION","","","PIPER","PA32","300","FINAL","MINOR","LANDING"
"FTW88LA128","N2642V","18152","ACCIDENT","03-JUL-88","TX","HORSESHOE BAY","PART 91: GENERAL AVIATION","","","CESSNA","170","UNDESIGNATED SERIES","FINAL","NONE","DESCENT"
"FTW88LA130","N25999","15280906","ACCIDENT","12-JUL-88","LA","","PART 91: GENERAL AVIATION","","SLIDELL AVIATION SERVICES","CESSNA","152","NO SERIES EXISTS","FINAL","MINOR","LANDING"
"FTW88LA133A","N295C","35679","ACCIDENT","17-JUL-88","LA","MUNICIPAL","PART 91: GENERAL AVIATION","","","CESSNA","310","B","FINAL","NONE","LANDING"
"FTW88LA133B","N93294","15285461","ACCIDENT","17-JUL-88","LA","MUNICIPAL","PART 91: GENERAL AVIATION","","LOUISIANA TECH UNIVERSITY","CESSNA","152","NO SERIES EXISTS","FINAL","NONE","LANDING"
"FTW88LA134","N47WJ","CCI-463","ACCIDENT","15-JUL-88","TX","","PART 91: GENERAL AVIATION","","","BELL","47G","2","FINAL","NONE","DESCENT"
"FTW88LA135","N8949P","4405","ACCIDENT","20-JUL-88","TX","LA GRANGE MUNICIPAL","PART 91: GENERAL AVIATION","","","PIPER","PA24","260","FINAL","NONE","LANDING"
"FTW88LA137","N9087X","18253487","ACCIDENT","13-JUN-88","TX","GILMER UPSHUR COUNTY","PART 91: GENERAL AVIATION","","","CESSNA","182","D","FINAL","NONE","LANDING"
"FTW88LA138","N771RB","D-8070","ACCIDENT","22-JUL-88","OK","SAYRE MUNICIPAL","PART 91: GENERAL AVIATION","","","BEECH","35","V35B","FINAL","MINOR","LANDING"
"FTW88LA139","N76505","10937","ACCIDENT","21-JUN-88","TX","CLIFTON MUNCIPAL","PART 91: GENERAL AVIATION","","","CESSNA","140","UNDESIGNATED SERIES","FINAL","NONE","LANDING"
"FTW88LA140","N2970M","28R-7918001","ACCIDENT","22-JUL-88","OK","DOWNTOWN AIRPARK","PART 135: AIR TAXI & COMMUTER","NON-SCHEDULED","ADIOS AIR LTD","PIPER","PA28R","UNDESIGNATED SERIES","FINAL","SERIOUS","TAKEOFF"
"FTW88LA142","N3707Z","EA 150","ACCIDENT","01-AUG-88","TX","","PART 91: GENERAL AVIATION","","PETRO JET AVIATION INC","BEECH","36","A36TC","FINAL","NONE","LANDING"
"FTW88LA143","N9248R","18802186T","ACCIDENT","04-AUG-88","TX","","PART 137: AGRICULTURAL","UNKNOWN","AMERICAN SPRAYERS INC","CESSNA","A188","B","FINAL","MINOR","LANDING"
"FTW88LA144","N57430","944-73","ACCIDENT","07-AUG-88","TX","SUNRISE BEACH","PART 91: GENERAL AVIATION","","","CHAMPION","7ECA","NO SERIES EXISTS","FINAL","NONE","LANDING"
"FTW88LA146","N5932P","24-1020","ACCIDENT","05-AUG-88","OK","","PART 91: GENERAL AVIATION","","","PIPER","PA24","UNDESIGNATED SERIES","FINAL","MINOR","LANDING"
"FTW88LA148","N8355L","32R-8129051","ACCIDENT","07-AUG-88","TX","JACKSON COUNTY","PART 91: GENERAL AVIATION","","","PIPER","PA32RT","300","FINAL","NONE","LANDING"
